,Ticker,Number of Holdings,Percentage of Assets in Top 10,Beta,Issuer,ESG Score,Annual Dividend Rate in $,Annual Dividend Yield %,Expense Ratio,Inception,Index Tracked,Category,Asset Class,Asset Class Size,Asset Class Style,Region (General),Region (Specific),AUM in Millions $,Shares in Millions,Num of sectors,Sector (General),Sector (Specific)
598,XLY,62.0,67.6,1.13,State Street SPDR,6.04,1.32,0.84,0.0012,12/16/1998,Consumer Discretionary Select Sector Index,Consumer Discretionary Equities,Equity,Large-Cap,Growth,North America,U.S.,18047.8,115.1,9,Consumer Discretionary,Broad
599,VBK,611.0,8.85,1.19,Vanguard,4.64,1.18,0.44,0.0007,1/30/2004,MSCI US Small Cap Growth Index,Small Cap Growth Equities,Equity,Small-Cap,Growth,North America,U.S.,14838.4,55.0,20,,
600,IDOG,52.0,22.19,0.93,ALPS,7.27,0.78,2.88,0.005,6/27/2013,S-Network International Sector Dividend Dogs Index ,Foreign Large Cap Equities,Equity,Large-Cap,Value,Developed Markets,Broad,166.7,6.2,18,,
601,RBUS,251.0,9.66,0.79,Nationwide,5.71,0.47,1.34,0.003,9/15/2017,R Risk-Based US Index,Large Cap Blend Equities,Equity,Large-Cap,Blend,North America,U.S.,108.1,3.1,20,,
602,EQL,13.0,91.79,0.96,ALPS,5.69,1.97,2.17,0.0028,7/6/2009,Bank of America Securities - Merrill Lynch Equal Sector Weight Index,Large Cap Blend Equities,Equity,Large-Cap,Blend,North America,U.S.,186.2,2.1,1,,
605,QARP,345.0,30.26,1.04,DWS,4.85,0.54,1.52,0.0019,4/5/2018,Russell 1000 2Qual/Val 5% Capped Factor Index,Large Cap Growth Equities,Equity,Large-Cap,Blend,North America,U.S.,42.9,1.2,20,,
607,SMMV,329.0,12.66,0.86,iShares,4.37,0.47,1.31,0.002,9/7/2016,MSCI USA Small Cap Minimum Volatility (USD) Index,Small Cap Growth Equities,Equity,Small-Cap,Blend,North America,U.S.,883.0,24.6,21,,
608,ROM,156.0,71.48,2.26,ProShares,4.11,0.14,0.19,0.0095,1/30/2007,Dow Jones U.S. Technology Index (200%),Leveraged Equities,Equity,Large-Cap,Growth,North America,U.S.,669.0,9.4,0,Technology,Broad
609,SNPE,296.0,34.65,0.99,DWS,5.23,0.47,1.39,0.001,6/26/2019,S&P 500 ESG Index,Large Cap Growth Equities,Equity,Large-Cap,Blend,North America,U.S.,491.8,14.6,20,,
611,DDIV,51.0,37.24,1.01,First Trust,5.6,0.65,2.27,0.006,3/10/2014,Dorsey Wright Momentum Plus Dividend Yield Index,All Cap Equities,Equity,Multi-Cap,Blend,North America,U.S.,33.1,1.2,13,,
612,JKG,163.0,14.34,1.12,iShares,5.29,2.61,1.07,0.0025,6/28/2004,Morningstar Mid Core Index,Mid Cap Blend Equities,Equity,Mid-Cap,Blend,North America,U.S.,842.3,3.5,20,,
613,OMFL,772.0,7.12,0.99,Invesco,4.68,0.59,1.4,0.0029,11/8/2017,Russell 1000 OFI Dynamic Multifactor Index,Large Cap Blend Equities,Equity,Mid-Cap,Blend,North America,U.S.,1375.1,32.6,19,,
614,PSCM,37.0,56.27,1.53,Invesco,4.96,0.89,1.41,0.0029,4/7/2010,S&P SmallCap 600 Materials Index,Materials,Equity,Micro-Cap,Blend,North America,U.S.,18.3,0.3,6,Materials,Broad
615,BBCA,86.0,46.74,1.11,J.P. Morgan,7.12,0.64,2.24,0.0019,8/7/2018,Morningstar Canada Target Market Exposure Index,Foreign Large Cap Equities,Equity,Multi-Cap,Blend,North America,Canada,4719.1,164.2,17,,
616,XLK,76.0,66.28,1.06,State Street SPDR,5.29,1.2,0.93,0.0012,12/16/1998,Technology Select Sector Index,Technology Equities,Equity,Large-Cap,Growth,North America,U.S.,36900.8,286.2,7,Technology,Broad
617,JHMS,53.0,46.13,0.63,John Hancock,5.93,0.74,2.31,0.004,3/28/2016,John Hancock Dimensional Consumer Staples Index,Consumer Staples Equities,Equity,Large-Cap,Blend,North America,U.S.,24.8,0.8,7,Consumer Staples,Broad
619,FLSA,49.0,66.66,0.69,Franklin Templeton Investments,2.47,0.57,1.99,0.0039,10/9/2018,FTSE Saudi Arabia Capped Index,Emerging Markets Equities,Equity,Multi-Cap,Blend,Middle East,Saudi Arabia,2.8,0.1,14,,
620,RFDA,85.0,31.35,1.04,ALPS,5.82,0.59,1.51,0.0052,6/7/2016,NONE,Large Cap Growth Equities,Equity,Large-Cap,Blend,North America,U.S.,120.7,3.1,19,,
621,FDT,301.0,7.18,1.02,First Trust,5.62,1.37,2.35,0.008,4/19/2011,Defined Developed Markets Ex-US Index,Foreign Large Cap Equities,Equity,Multi-Cap,Blend,Developed Markets,Broad,364.2,6.2,20,,
622,KOMP,407.0,15.66,1.22,State Street SPDR,4.91,0.4,0.62,0.002,10/22/2018,S&P Kensho New Economies Composite Index,All Cap Equities,Equity,Multi-Cap,Blend,Developed Markets,Broad,1887.1,29.6,18,,
623,RYF,66.0,17.81,1.24,Invesco,7.0,1.07,1.94,0.004,11/7/2006,S&P Equal Weight Index Financials,Financials Equities,Equity,Multi-Cap,Blend,North America,U.S.,278.1,5.0,3,Financials,Broad
624,CFO,500.0,3.31,0.74,Victory Capital,6.03,0.56,0.87,0.0038,7/1/2014,CEMP U.S. Large Cap 500 Long/Cash Volatility Weighted Index,Large Cap Blend Equities,Equity,Multi-Cap,Blend,North America,U.S.,812.6,12.7,20,,
625,LEAD,49.0,27.12,0.95,Reality Shares,6.77,0.38,0.82,0.0043,1/6/2016,Reality Shares DIVCON Leaders Dividend Index,Large Cap Growth Equities,Equity,Multi-Cap,Growth,North America,U.S.,37.6,0.8,16,,
626,IYC,135.0,48.63,1.1,iShares,4.54,1.08,1.5,0.0043,6/28/2000,Dow Jones U.S. Consumer Services Index,Large Cap Growth Equities,Equity,Large-Cap,Growth,North America,U.S.,1312.5,18.3,10,Consumer Discretionary,Consumer Services
627,IWN,1481.0,5.49,1.27,iShares,4.07,2.11,1.35,0.0024,7/24/2000,Russell 2000 Value Index,Small Cap Blend Equities,Equity,Multi-Cap,Blend,North America,U.S.,15774.9,100.5,20,,
628,VTWO,2072.0,7.58,1.26,Vanguard,4.06,1.46,0.83,0.001,9/22/2010,Russell 2000 Index,Small Cap Growth Equities,Equity,Micro-Cap,Blend,North America,U.S.,4830.7,27.5,22,,
629,DFNL,26.0,59.44,1.2,Davis Advisors,5.96,0.35,1.25,0.0064,1/11/2017,NONE,Financials Equities,Equity,Large-Cap,Blend,North America,U.S.,184.4,6.7,2,Financials,Broad
630,JXI,68.0,44.43,0.43,iShares,8.03,1.59,2.83,0.0046,9/21/2006,S&P Global Utilities Index,Utilities Equities,Equity,Large-Cap,Value,Developed Markets,Broad,140.8,2.5,5,Utilities,Broad
632,SPGP,76.0,21.66,1.17,Invesco,6.07,0.79,0.99,0.0036,6/16/2011,S&P 500 GARP Index,Large Cap Growth Equities,Equity,Multi-Cap,Blend,North America,U.S.,286.7,3.6,15,,
633,LDEM,456.0,31.61,1.37,iShares,6.15,1.13,1.85,0.0016,2/5/2020,MSCI EM Extended ESG Leaders 5% Issuer Capped Index,Emerging Markets Equities,Equity,Large-Cap,Blend,Emerging Markets,Broad,850.1,13.6,20,,
634,IWF,455.0,44.56,1.02,iShares,4.46,1.59,0.68,0.0019,5/22/2000,Russell 1000 Growth Index,Large Cap Growth Equities,Equity,Large-Cap,Growth,North America,U.S.,60690.7,258.2,19,,
636,FNDC,1588.0,2.09,1.0,Charles Schwab,5.7,0.62,1.69,0.0039,8/15/2013,Russell Fundamental Developed ex-U.S. Small Company Index,Foreign Small & Mid Cap Equities,Equity,Multi-Cap,Blend,Developed Markets,Broad,2307.0,63.5,21,,
637,VOE,200.0,11.03,1.13,Vanguard,6.12,2.81,2.14,0.0007,8/24/2006,CRSP US Mid Cap Value Index,Mid Cap Value Equities,Equity,Mid-Cap,Blend,North America,U.S.,12579.3,95.9,20,,
638,IDU,49.0,56.23,0.37,iShares,7.61,3.37,4.53,0.0043,6/20/2000,Dow Jones U.S. Utilities Index,Utilities Equities,Equity,Multi-Cap,Value,North America,U.S.,738.9,10.0,4,Utilities,Broad
639,GRES,214.0,30.69,0.62,IndexIQ,6.42,2.55,9.32,0.0078,10/27/2009,IQ Global Resources Index,Commodity Producers Equities,Equity,Multi-Cap,Blend,Developed Markets,Broad,19.2,0.7,12,Materials,Natural Resources
640,BKF,644.0,35.13,0.84,iShares,3.43,0.53,0.98,0.006999999999999999,11/12/2007,MSCI BRIC Index,Asia Pacific Equities,Equity,Large-Cap,Blend,Emerging Markets,Broad,173.7,3.2,20,,
641,IUSV,745.0,17.45,1.03,iShares,6.1,1.49,2.23,0.0004,8/4/2000,Russell 2500 Value Index,Large Cap Blend Equities,Equity,Large-Cap,Blend,North America,U.S.,8583.8,128.1,21,,
642,ASEA,42.0,53.81,0.9,Global X,7.77,0.33,2.2,0.0065,2/16/2011,FTSE/ASEAN 40 Index,Asia Pacific Equities,Equity,Large-Cap,Blend,Broad Asia,Pacific ex-Japan,32.0,2.1,11,,
644,AFTY,51.0,53.67,0.79,Pacer Financial,3.01,0.34,1.45,0.006999999999999999,3/12/2015,FTSE China A50 Total New Return Index,China Equities,Equity,Multi-Cap,Blend,Emerging Asia Pacific,China,10.7,0.5,17,,
645,EEMO,202.0,58.92,0.9,Invesco,5.31,0.29,1.45,0.0031,2/24/2012,S&P Momentum Emerging Plus LargeMidCap Index ,Emerging Markets Equities,Equity,Large-Cap,Blend,Emerging Markets,Broad,10.0,0.5,18,,
646,FLRU,33.0,68.25,1.26,Franklin Templeton Investments,3.81,1.68,6.37,0.0019,2/6/2018,FTSE Russia Capped Index,Emerging Markets Equities,Equity,Multi-Cap,Blend,North America,U.S.,10.5,0.4,10,,
648,IYH,125.0,45.63,0.77,iShares,5.43,2.86,1.17,0.0043,6/12/2000,Dow Jones U.S. Health Care Index,Health & Biotech Equities,Equity,Large-Cap,Growth,North America,U.S.,2461.4,10.1,10,Healthcare,Broad
649,JPUS,380.0,4.81,1.0,J.P. Morgan,5.75,1.63,1.86,0.0018,9/29/2015,Russell 1000 Diversified Factor Index,Large Cap Blend Equities,Equity,Multi-Cap,Blend,North America,U.S.,638.3,7.3,22,,
650,JQUA,250.0,18.02,0.91,J.P. Morgan,5.53,0.52,1.43,0.0012,11/8/2017,JP Morgan US Quality Factor Index,Large Cap Growth Equities,Equity,Large-Cap,Growth,North America,U.S.,390.9,10.8,21,,
652,EZA,39.0,56.95,1.17,iShares,5.77,2.42,5.09,0.0059,2/7/2003,MSCI South Africa Index,Emerging Markets Equities,Equity,Large-Cap,Blend,North America,U.S.,370.0,7.8,13,,
653,EFG,439.0,22.11,0.79,iShares,7.41,0.86,0.88,0.0039,8/1/2005,MSCI EAFE Growth Index,Foreign Large Cap Equities,Equity,Large-Cap,Growth,Developed Markets,EAFE,10059.2,103.6,22,,
654,ACSG,827.0,18.98,0.85,DWS,7.35,0.55,1.68,0.0016,12/6/2018,MSCI ACWI ex USA ESG Leaders Index,Foreign Large Cap Equities,Equity,Large-Cap,Blend,Broad Asia,Broad,9.5,0.3,22,,
655,IVV,507.0,26.67,0.99,iShares,5.3,5.91,1.53,0.0003,5/15/2000,S&P 500 Index,Large Cap Growth Equities,Equity,Large-Cap,Blend,North America,U.S.,252116.0,654.6,21,,
657,IEFN,291.0,32.39,1.23,iShares,6.82,0.54,1.86,0.0018,3/21/2018,NONE,Financials Equities,Equity,Multi-Cap,Blend,North America,U.S.,5.8,0.2,13,Financials,Broad
658,DGRS,218.0,18.19,1.22,WisdomTree,4.35,0.9,2.0,0.0038,7/25/2013,WisdomTree U.S. SmallCap Dividend Growth Index,Small Cap Blend Equities,Equity,Micro-Cap,Blend,North America,U.S.,176.9,3.9,20,,
661,FIDI,103.0,31.43,0.94,Fidelity,6.3,0.62,3.11,0.0039,1/16/2018,Fidelity® International High Dividend Index,Foreign Large Cap Equities,Equity,Large-Cap,Value,Developed Markets,Broad,67.2,3.4,20,,
662,OIH,26.0,67.92,2.67,VanEck,5.17,1.89,0.85,0.0035,12/20/2011,MVIS US Listed Oil Services 25 Index,Energy Equities,Equity,Multi-Cap,Value,Developed Markets,Broad,1355.5,6.1,4,Energy,Oil Equipment & Services
663,FNDF,927.0,12.65,0.93,Charles Schwab,7.04,0.64,2.03,0.0025,8/15/2013,Russell Fundamental Developed ex-U.S. Large Company Index,Foreign Large Cap Equities,Equity,Large-Cap,Blend,Developed Markets,Broad,5838.0,186.1,21,,
664,PRF,987.0,17.41,1.07,Invesco,5.3,2.63,1.79,0.0039,12/19/2005,FTSE RAFI US 1000 Index,Large Cap Blend Equities,Equity,Large-Cap,Blend,North America,U.S.,4722.9,32.2,21,,
666,SCHC,2145.0,4.32,1.05,Charles Schwab,5.61,0.61,1.59,0.0011,1/14/2010,FTSE Developed Small Cap ex U.S. Liquid Index,Foreign Small & Mid Cap Equities,Equity,Multi-Cap,Blend,Developed Markets,Broad,3119.8,81.5,21,,
667,SH,21.0,84.13,-0.9,ProShares,6.1,0.03,0.16,0.009000000000000001,6/21/2006,S&P 500 Index (-100%),Inverse Equities,Equity,Large-Cap,Blend,North America,U.S.,1761.0,101.2,0,,
668,ITOT,3574.0,21.88,1.03,iShares,5.07,1.22,1.37,0.0003,1/20/2004,S&P Composite 1500 Index,Large Cap Growth Equities,Equity,Large-Cap,Blend,North America,U.S.,34832.2,391.5,21,,
669,FLQS,509.0,9.54,1.08,Franklin Templeton Investments,4.58,0.38,1.08,0.0035,4/26/2017,LibertyQ U.S. Small Cap Equity Index,Small Cap Growth Equities,Equity,Small-Cap,Blend,North America,U.S.,14.2,0.4,20,,
670,QQEW,103.0,12.0,1.05,First Trust,5.71,0.35,0.35,0.0059,4/25/2006,NASDAQ-100 Equal Weighted Index,Large Cap Growth Equities,Equity,Large-Cap,Growth,North America,U.S.,1196.7,12.0,15,,
671,SECT,16.0,80.38,0.96,Main Management,5.67,0.48,1.3,0.008,9/5/2017,NONE,Large Cap Blend Equities,Equity,Large-Cap,Blend,North America,U.S.,767.8,20.7,2,,
672,LRGF,165.0,24.76,0.98,iShares,6.43,0.51,1.31,0.002,4/28/2015,MSCI USA Diversified Multi-Factor,Large Cap Blend Equities,Equity,Multi-Cap,Blend,North America,U.S.,931.1,24.0,20,,
674,XRT,95.0,22.22,1.39,State Street SPDR,4.2,0.65,0.79,0.0035,6/19/2006,S&P Retail Select Industry Index,Consumer Discretionary Equities,Equity,Multi-Cap,Blend,North America,U.S.,584.6,7.2,8,Consumer Discretionary,Retail
675,FAN,49.0,54.03,0.89,First Trust,7.31,0.19,0.94,0.0062,6/16/2008,ISE Global Wind Energy Index,Alternative Energy Equities,Equity,Multi-Cap,Blend,Developed Markets,Broad,390.5,19.0,8,Energy,Wind Energy
676,XCEM,103.0,40.32,0.94,Columbia Threadneedle Investments,6.76,0.49,1.54,0.0016,9/2/2015,MSCI Emerging Markets ex China Index,Emerging Markets Equities,Equity,Multi-Cap,Blend,Emerging Markets,Broad,30.2,1.0,20,,
679,AFMC,305.0,11.49,1.07,First Trust,4.88,0.22,0.97,0.0065,12/3/2019,NONE,Small Cap Blend Equities,Equity,Mid-Cap,Blend,North America,U.S.,2.3,0.1,21,,
681,SPHD,51.0,30.35,0.96,Invesco,5.59,1.82,4.43,0.003,10/18/2012,S&P Low Volatility High Dividend index,Volatility Hedged Equity,Equity,Multi-Cap,Blend,North America,U.S.,2750.6,67.0,14,,
682,VUSE,229.0,6.85,1.26,Vident Financial,5.38,0.46,1.15,0.0048,1/22/2014,Vident Core U.S. Equity Index,All Cap Equities,Equity,Multi-Cap,Blend,North America,U.S.,405.9,10.1,20,,
684,CHII,101.0,43.98,0.72,Global X,2.12,0.23,1.45,0.0066,11/30/2009,Solactive China Industrials Index,China Equities,Equity,Multi-Cap,Blend,Emerging Asia Pacific,China,2.4,0.2,11,Industrials,Broad
685,DDM,31.0,55.84,2.06,ProShares,5.99,0.17,0.29,0.0095,6/21/2006,Dow Jones Industrial Average Index (200%),Leveraged Equities,Equity,Mega-Cap,Blend,North America,U.S.,383.7,6.4,0,,
686,FDRR,117.0,26.4,1.0,Fidelity,5.65,1.05,2.69,0.0029,9/12/2016,Fidelity Dividend Index for Rising Rates,Large Cap Blend Equities,Equity,Large-Cap,Blend,North America,U.S.,349.0,9.0,21,,
687,IGM,318.0,49.87,1.1,iShares,4.3,1.12,0.32,0.0046,3/13/2001,S&P North American Technology Sector Index,Technology Equities,Equity,Large-Cap,Growth,North America,U.S.,3138.0,9.0,13,Technology,Broad
688,EPP,131.0,42.58,0.93,iShares,8.32,1.09,2.19,0.0048,10/25/2001,MSCI Pacific ex-Japan Index,Asia Pacific Equities,Equity,Large-Cap,Blend,Developed Asia Pacific,Pacific ex-Japan,2329.7,46.8,20,,
689,UIVM,314.0,7.73,0.88,Victory Capital,6.74,0.75,1.62,0.0035,10/24/2017,MSCI World exUSA Select Value Momentum Blend Index ,Foreign Large Cap Equities,Equity,Large-Cap,Blend,Developed Markets,Broad,420.3,9.1,20,,
690,FEZ,52.0,39.85,1.0,State Street SPDR,7.15,0.89,2.09,0.0029,10/21/2002,EURO STOXX 50 Index,Europe Equities,Equity,Mega-Cap,Blend,Developed Europe,Broad,1899.1,44.9,18,,
691,QDIV,68.0,17.56,1.17,Global X,6.79,0.79,2.76,0.002,7/13/2018,S&P 500 Quality High Dividend Index,Large Cap Blend Equities,Equity,Multi-Cap,Blend,North America,U.S.,7.1,0.3,14,,
692,SPXL,4.0,100.01,3.15,Direxion,5.41,0.16,0.21,0.0101,11/5/2008,S&P 500 Index (300%),Leveraged Equities,Equity,Large-Cap,Blend,North America,U.S.,1683.0,22.0,0,,
693,DES,587.0,12.11,1.23,WisdomTree,3.86,0.67,2.17,0.0038,6/16/2006,WisdomTree SmallCap Dividend Index,Small Cap Blend Equities,Equity,Micro-Cap,Blend,North America,U.S.,1794.7,58.6,21,,
695,ICOL,34.0,70.87,1.39,iShares,7.16,0.33,3.25,0.0061,6/18/2013,MSCI All Colombia Capped Index,Latin America Equities,Equity,Multi-Cap,Blend,Latin America,Colombia,21.5,2.1,11,,
696,EMGF,244.0,29.03,0.86,iShares,3.85,0.96,1.88,0.0045,12/8/2015,MSCI Emerging Markets Diversified Multiple-Factor Index,Emerging Markets Equities,Equity,Large-Cap,Blend,Broad Asia,Pacific ex-Japan,702.9,13.8,21,,
697,IXC,58.0,58.47,1.44,iShares,5.96,0.99,3.8,0.0046,11/16/2001,S&P Global Energy Sector Index,Energy Equities,Equity,Large-Cap,Value,Developed Markets,Broad,1429.6,55.1,6,Energy,Oil & Gas Exploration & Production
699,FCA,46.0,38.35,0.8,First Trust,2.33,1.18,4.12,0.008,4/21/2011,NASDAQ AlphaDEX China Index,China Equities,Equity,Multi-Cap,Blend,Broad Asia,Pacific ex-Japan,13.0,0.5,14,,
701,BETZ,42.0,41.64,1.84,Roundhill Financial LLC,6.0,0.07,0.24,0.0075,6/4/2020,Roundhill Sports Betting & iGaming Index,Consumer Discretionary Equities,Equity,Multi-Cap,Blend,Developed Markets,Broad,446.3,15.0,6,Consumer Discretionary,Gaming
702,CHIH,88.0,52.67,0.57,Global X,3.15,0.02,0.05,0.0065,12/7/2018,MSCI China Health Care 10/50 Index,China Equities,Equity,Large-Cap,Blend,Emerging Asia Pacific,China,23.0,0.8,7,Healthcare,Pharmaceutical
703,MMLG,94.0,37.47,1.44,First Trust,4.44,0.06,0.26,0.0085,7/21/2020,NONE,Large Cap Growth Equities,Equity,Large-Cap,Growth,North America,U.S.,5.9,0.3,16,,
705,GBDV,93.0,41.51,1.25,Global Beta Advisors LLC,6.17,0.79,3.91,0.0029,12/27/2019,Global Beta Smart Income Index,Large Cap Value Equities,Equity,Multi-Cap,Blend,North America,U.S.,2.0,0.1,19,,
706,TLTE,2070.0,15.92,0.95,FlexShares,4.56,1.13,1.86,0.0059,9/25/2012,Morningstar Emerging Markets Factor Tilt Index,Foreign Large Cap Equities,Equity,Multi-Cap,Blend,Emerging Markets,Broad,293.2,4.8,21,,
707,QLC,159.0,28.7,1.02,FlexShares,5.69,0.57,1.36,0.0032,9/23/2015,Northern Trust Quality Large Cap Index,Large Cap Growth Equities,Equity,Large-Cap,Blend,North America,U.S.,91.6,2.2,20,,
708,QQQN,51.0,30.43,1.6,Victory Capital,5.45,0.04,0.13,0.0018,9/10/2020,NASDAQ Q-50 Index,Mid Cap Growth Equities,Equity,Mid-Cap,Growth,North America,U.S.,135.5,4.3,12,,
710,ILF,43.0,53.97,1.15,iShares,3.78,0.55,2.02,0.0048,10/25/2001,S&P Latin America 40 Index,Latin America Equities,Equity,Large-Cap,Blend,Latin America,Broad,1650.0,60.5,15,,
712,ULVM,192.0,9.32,1.06,Victory Capital,5.85,0.78,1.31,0.002,10/24/2017,MSCI USA Select Value Momentum Blend Index,Large Cap Value Equities,Equity,Multi-Cap,Value,North America,U.S.,525.8,8.9,20,,
713,VDC,98.0,63.01,0.64,Vanguard,4.56,4.35,2.57,0.001,1/30/2004,MSCI US Investable Market Consumer Staples 25/50 Index,Consumer Staples Equities,Equity,Large-Cap,Blend,North America,U.S.,5364.6,31.7,9,Consumer Staples,Broad
714,CLRG,101.0,17.81,1.12,IndexIQ,6.01,0.46,1.54,0.0025,12/13/2017,NASDAQ Chaikin Power US Large Cap Index,Large Cap Growth Equities,Equity,Large-Cap,Blend,North America,U.S.,289.9,9.7,17,,
715,JHSC,321.0,6.77,1.23,John Hancock,4.51,0.34,1.04,0.0042,11/8/2017,John Hancock Dimensional Small Cap Index,Small Cap Growth Equities,Equity,Small-Cap,Blend,North America,U.S.,408.8,12.4,21,,
716,DSTL,102.0,20.12,1.01,Distillate Capital,6.13,0.3,0.81,0.0039,10/24/2018,Distillate Fundamental Stability & Value Index,Large Cap Growth Equities,Equity,Large-Cap,Blend,North America,U.S.,261.2,7.0,17,,
717,IWM,2032.0,4.33,1.26,iShares,4.06,2.04,0.94,0.0019,5/22/2000,Russell 2000 Index,Small Cap Growth Equities,Equity,Micro-Cap,Blend,North America,U.S.,67973.5,312.1,21,,
718,BLCN,72.0,29.14,1.17,Reality Shares,6.5,0.23,0.5,0.0068,1/17/2018,Reality Shares NASDAQ Blockchain Economy Index,Large Cap Blend Equities,Equity,Large-Cap,Blend,Developed Markets,Broad,287.9,6.1,11,Technology,Broad
720,CSF,494.0,4.1,0.85,Victory Capital,4.2,0.55,0.94,0.0038,7/31/2014,CEMP U.S. Small Cap 500 Long/Cash Volatility Weighted Index ,Small Cap Blend Equities,Equity,Multi-Cap,Blend,Developed Markets,Broad,55.1,1.0,22,,
722,QQQM,103.0,50.93,1.41,Invesco,4.58,0.21,0.17,0.0015,10/13/2020,NASDAQ-100 Index,Large Cap Growth Equities,Equity,Large-Cap,Blend,North America,U.S.,601.5,4.7,15,,
723,QTEC,42.0,29.71,1.1,First Trust,5.63,0.61,0.46,0.0057,4/25/2006,NASDAQ-100 Technology Sector Index,Technology Equities,Equity,Large-Cap,Growth,North America,U.S.,3226.0,23.4,4,Technology,Broad
724,ROBO,86.0,18.69,1.26,Exchange Traded Concepts,5.83,0.12,0.19,0.0095,10/22/2013,Robo-Stox Global Robotics and Automation Index,Global Equities,Equity,Multi-Cap,Blend,Developed Markets,Broad,1891.3,30.4,9,Technology,Broad
725,GDX,52.0,58.46,0.62,VanEck,5.68,0.19,0.61,0.0053,5/22/2006,NYSE Arca Gold Miners Index,Materials,Equity,Multi-Cap,Blend,Developed Markets,Broad,13485.2,424.5,3,Materials,Gold Miners
726,FAB,676.0,5.22,1.38,First Trust,5.32,0.93,1.38,0.006999999999999999,5/8/2007,Defined Multi Cap Value Index,All Cap Equities,Equity,Multi-Cap,Blend,North America,U.S.,83.7,1.3,21,,
727,EINC,30.0,61.52,1.69,VanEck,4.14,2.29,4.66,0.0045,3/12/2012,MVIS North America Energy Infrastructure Index,Energy Equities,Equity,Multi-Cap,Blend,North America,Broad,27.7,0.6,4,Energy,Energy Infrastructure
728,ARGT,26.0,75.49,1.28,Global X,5.05,0.09,0.3,0.006,3/2/2011,MSCI All Argentina 25/50 Index,Latin America Equities,Equity,Multi-Cap,Blend,Latin America,Argentina,51.6,1.8,12,,
729,QLVE,140.0,35.6,0.69,FlexShares,6.21,0.44,1.54,0.004,7/15/2019,Northern Trust Emerging Markets Quality Low Volatility Index,Volatility Hedged Equity,Equity,Large-Cap,Blend,Broad Asia,Pacific ex-Japan,13.6,0.5,19,,
730,ESGN,102.0,14.73,0.9,Columbia Threadneedle Investments,8.77,0.67,2.51,0.0045,6/13/2016,Beta Advantage Sustainable International Equity Income 100 Index,Foreign Large Cap Equities,Equity,Multi-Cap,Value,Developed Markets,Broad,5.3,0.2,19,,
731,EDC,5.0,100.0,2.68,Direxion,5.4,0.41,0.4,0.0133,12/17/2008,MSCI Emerging Markets Index (300%),Leveraged Equities,Equity,Large-Cap,Blend,Emerging Markets,Broad,233.7,2.3,0,,
732,USAI,34.0,60.79,1.8,SL Advisors,4.07,1.57,7.26,0.0075,12/13/2017,American Energy Independence Index,Energy Equities,Equity,Multi-Cap,Blend,North America,Broad,17.3,0.8,4,Energy,Oil & Gas Exploration & Production
734,CEY,97.0,16.8,0.84,Victory Capital,4.74,0.8,3.44,0.005,10/26/2017,CEMP Emerging Market High Dividend 100 Volatility Weighted Index,Emerging Markets Equities,Equity,Large-Cap,Blend,Emerging Markets,Broad,18.6,0.8,16,,
735,MMTM,1374.0,35.84,0.96,State Street SPDR,4.79,1.84,1.15,0.0012,10/24/2012,S&P 1500 Positive Momentum Tilt Index,Large Cap Growth Equities,Equity,Large-Cap,Growth,North America,U.S.,80.2,0.5,20,,
736,AAXJ,1071.0,33.41,0.8,iShares,5.34,0.95,1.0,0.006999999999999999,8/13/2008,MSCI All Country Asia ex Japan Index,Asia Pacific Equities,Equity,Large-Cap,Blend,Broad Asia,Pacific ex-Japan,6742.4,71.6,21,,
739,PSC,473.0,9.2,1.33,Principal Financial Group,4.2,0.45,1.04,0.0038,9/21/2016,NASDAQ U.S. Small Cap Select Leaders Index,Small Cap Blend Equities,Equity,Micro-Cap,Blend,North America,U.S.,1106.3,25.4,20,,
740,IAT,56.0,60.9,1.39,iShares,5.77,1.3,2.29,0.0042,5/5/2006,Dow Jones U.S. Select Regional Banks Index,Financials Equities,Equity,Multi-Cap,Value,North America,U.S.,570.9,10.1,3,Financials,Regional Banks
742,SIMS,47.0,31.25,1.31,State Street SPDR,6.99,0.24,0.56,0.0045,12/26/2017,S&P Kensho Intelligent Infrastructure Index,Global Equities,Equity,Multi-Cap,Blend,Developed Markets,Broad,39.1,0.9,11,Materials,Electric Energy Infrastructure
